"workerid","tested_on","response","check_index","catch_response","property","correct","condition"
0,NA,NA,NA,"""buildings""",NA,NA,NA
0,1,0,0,NA,"""light apple""",0,"""memory_check"""
0,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
0,1,0,2,NA,"""long driving route from Los Angeles to San Francisco""",0,"""memory_check"""
0,0,0,3,NA,"""miniscule bug""",1,"""memory_check"""
0,1,0,4,NA,"""warm cup of coffee""",0,"""memory_check"""
0,1,0,5,NA,"""cold day in Summer""",0,"""memory_check"""
0,1,1,6,NA,""" cheap crystal flower vase""",1,"""memory_check"""
0,0,0,7,NA,"""boisterous teenager""",1,"""memory_check"""
0,0,0,8,NA,"""huge umbrella""",1,"""memory_check"""
0,0,1,9,NA,"""flowing fields""",0,"""memory_check"""
0,-1,-1,-1,NA,"""completed sentences in how they made sense """,-1,"""explanation"""
1,NA,NA,NA,"""buildings""",NA,NA,NA
1,0,0,0,NA,"""flowing fields""",1,"""memory_check"""
1,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
1,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
1,1,0,3,NA,""" heavy coffee table""",0,"""memory_check"""
1,1,0,4,NA,"""quiet electric car""",0,"""memory_check"""
1,1,0,5,NA,"""big elephant""",0,"""memory_check"""
1,0,0,6,NA,"""boisterous teenager""",1,"""memory_check"""
1,0,0,7,NA,"""huge umbrella""",1,"""memory_check"""
1,1,0,8,NA,"""light watermelon""",0,"""memory_check"""
1,1,1,9,NA,""" heavy reading lamp""",1,"""memory_check"""
1,-1,-1,-1,NA,"""provide an answer to the question of what a person&quotechars statement about an object meant""",-1,"""explanation"""
2,NA,NA,NA,"""buildings""",NA,NA,NA
2,0,0,0,NA,"""miniscule bug""",1,"""memory_check"""
2,0,0,1,NA,"""boisterous teenager""",1,"""memory_check"""
2,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
2,0,0,3,NA,"""flowing fields""",1,"""memory_check"""
2,1,1,4,NA,"""loud muscle car""",1,"""memory_check"""
2,1,0,5,NA,"""warm cup of iced tea""",0,"""memory_check"""
2,1,1,6,NA,""" short basketball player""",1,"""memory_check"""
2,1,0,7,NA,"""cold day in Summer""",0,"""memory_check"""
2,0,0,8,NA,"""ostentatious bike""",1,"""memory_check"""
2,1,0,9,NA,"""heavy watermelon""",0,"""memory_check"""
2,-1,-1,-1,NA,"""Which sentences made the most sense.""",-1,"""explanation"""
3,NA,NA,NA,"""buildings""",NA,NA,NA
3,1,0,0,NA,"""heavy watermelon""",0,"""memory_check"""
3,1,1,1,NA,"""big elephant""",1,"""memory_check"""
3,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
3,1,0,3,NA,""" cheap plastic flower vase""",0,"""memory_check"""
3,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
3,0,0,5,NA,"""flowing fields""",1,"""memory_check"""
3,1,1,6,NA,""" short gymnast""",1,"""memory_check"""
3,0,0,7,NA,"""huge umbrella""",1,"""memory_check"""
3,0,0,8,NA,"""ostentatious bike""",1,"""memory_check"""
3,1,0,9,NA,""" tall basketball player""",0,"""memory_check"""
3,-1,-1,-1,NA,"""I answered the best word that described what the sentences were talking about. """,-1,"""explanation"""
4,NA,NA,NA,"""buildings""",NA,NA,NA
4,0,0,0,NA,"""huge umbrella""",1,"""memory_check"""
4,1,0,1,NA,""" cheap crystal flower vase""",0,"""memory_check"""
4,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
4,0,0,3,NA,"""boisterous teenager""",1,"""memory_check"""
4,0,0,4,NA,"""flowing fields""",1,"""memory_check"""
4,1,1,5,NA,""" short gymnast""",1,"""memory_check"""
4,1,0,6,NA,"""warm day in Winter""",0,"""memory_check"""
4,1,1,7,NA,"""small SUV""",1,"""memory_check"""
4,0,1,8,NA,"""ostentatious bike""",0,"""memory_check"""
4,1,0,9,NA,""" light reading lamp""",0,"""memory_check"""
4,-1,-1,-1,NA,"""I wrote down something that was relative to sentences presented that were about gymansts, SUV&quotechars bikes etc.""",-1,"""explanation"""
5,NA,NA,NA,"""buildings""",NA,NA,NA
5,0,0,0,NA,"""huge umbrella""",1,"""memory_check"""
5,0,0,1,NA,"""miniscule bug""",1,"""memory_check"""
5,1,0,2,NA,""" cheap crystal flower vase""",0,"""memory_check"""
5,1,1,3,NA,""" light wardrobe""",1,"""memory_check"""
5,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
5,1,0,5,NA,"""cold cup of iced tea""",0,"""memory_check"""
5,0,0,6,NA,"""boisterous teenager""",1,"""memory_check"""
5,1,0,7,NA,"""loud family car""",0,"""memory_check"""
5,1,1,8,NA,""" light reading lamp""",1,"""memory_check"""
5,0,0,9,NA,"""flowing fields""",1,"""memory_check"""
5,-1,-1,-1,NA,"""I finished a sentence by filling in the blank with what a person meant when they said something.""",-1,"""explanation"""
6,NA,NA,NA,"""buildings """,NA,NA,NA
6,0,0,0,NA,"""miniscule bug""",1,"""memory_check"""
6,1,0,1,NA,"""cheap electric bike""",0,"""memory_check"""
6,0,0,2,NA,"""ostentatious bike""",1,"""memory_check"""
6,1,0,3,NA,"""warm cup of water""",0,"""memory_check"""
6,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
6,0,0,5,NA,"""boisterous teenager""",1,"""memory_check"""
6,0,0,6,NA,"""flowing fields""",1,"""memory_check"""
6,1,0,7,NA,"""quiet electric car""",0,"""memory_check"""
6,1,0,8,NA,""" tall gymnast""",0,"""memory_check"""
6,1,0,9,NA,""" tall runner""",0,"""memory_check"""
6,-1,-1,-1,NA,"""I completed the sentences explaining what the speaker was likely referencing when it came to their adjectives. """,-1,"""explanation"""
7,NA,NA,NA,"""buildings""",NA,NA,NA
7,0,0,0,NA,"""ostentatious bike""",1,"""memory_check"""
7,0,0,1,NA,"""flowing fields""",1,"""memory_check"""
7,1,0,2,NA,"""cheap city bike""",0,"""memory_check"""
7,1,1,3,NA,"""quiet muscle car""",1,"""memory_check"""
7,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
7,1,0,5,NA,"""big sedan""",0,"""memory_check"""
7,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
7,1,0,7,NA,""" expensive crystal flower vase""",0,"""memory_check"""
7,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
7,1,0,9,NA,"""long driving route from Los Angeles to San Francisco""",0,"""memory_check"""
7,-1,-1,-1,NA,"""wrote what objects the speaker was comparing to""",-1,"""explanation"""
8,NA,NA,NA,"""tall buildings""",NA,NA,NA
8,1,1,0,NA,""" heavy reading lamp""",1,"""memory_check"""
8,1,0,1,NA,""" short gymnast""",0,"""memory_check"""
8,0,1,2,NA,"""huge umbrella""",0,"""memory_check"""
8,1,0,3,NA,"""expensive kids bike""",0,"""memory_check"""
8,1,1,4,NA,""" light coffee table""",1,"""memory_check"""
8,0,1,5,NA,"""miniscule bug""",0,"""memory_check"""
8,0,1,6,NA,"""boisterous teenager""",0,"""memory_check"""
8,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
8,1,0,8,NA,"""expensive city bike""",0,"""memory_check"""
8,0,0,9,NA,"""ostentatious bike""",1,"""memory_check"""
8,-1,-1,-1,NA,"""Identify one long-term goal you would like to have achieved by the time you ... Knowing what you want to get out of a reading assignment helps you determine how to ... Again, pay attention to how your instructor presents the assignment. """,-1,"""explanation"""
9,NA,NA,NA,"""buildings""",NA,NA,NA
9,0,1,0,NA,"""ostentatious bike""",0,"""memory_check"""
9,0,0,1,NA,"""flowing fields""",1,"""memory_check"""
9,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
9,1,1,3,NA,""" expensive glass flower vase""",1,"""memory_check"""
9,0,0,4,NA,"""miniscule bug""",1,"""memory_check"""
9,1,1,5,NA,""" cheap plastic flower vase""",1,"""memory_check"""
9,1,1,6,NA,"""heavy grape""",1,"""memory_check"""
9,0,0,7,NA,"""boisterous teenager""",1,"""memory_check"""
9,1,1,8,NA,"""loud family car""",1,"""memory_check"""
9,1,1,9,NA,"""expensive electric bike""",1,"""memory_check"""
9,-1,-1,-1,NA,"""determining what a thing is implicitly compared to""",-1,"""explanation"""
10,NA,NA,NA,"""1""",NA,NA,NA
10,1,0,0,NA,"""cold day in Winter""",0,"""memory_check"""
10,0,0,1,NA,"""huge umbrella""",1,"""memory_check"""
10,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
10,1,1,3,NA,"""cold day in Fall""",1,"""memory_check"""
10,1,0,4,NA,"""quiet electric car""",0,"""memory_check"""
10,0,0,5,NA,"""flowing fields""",1,"""memory_check"""
10,1,0,6,NA,"""long driving route from Los Angeles to San Francisco""",0,"""memory_check"""
10,0,0,7,NA,"""ostentatious bike""",1,"""memory_check"""
10,0,0,8,NA,"""boisterous teenager""",1,"""memory_check"""
10,1,0,9,NA,"""dark sunroom""",0,"""memory_check"""
10,-1,-1,-1,NA,"""good experience""",-1,"""explanation"""
11,NA,NA,NA,"""buildings""",NA,NA,NA
11,0,0,0,NA,"""ostentatious bike""",1,"""memory_check"""
11,0,0,1,NA,"""flowing fields""",1,"""memory_check"""
11,1,1,2,NA,""" short gymnast""",1,"""memory_check"""
11,1,1,3,NA,"""warm day in Fall""",1,"""memory_check"""
11,0,0,4,NA,"""miniscule bug""",1,"""memory_check"""
11,0,0,5,NA,"""huge umbrella""",1,"""memory_check"""
11,0,0,6,NA,"""boisterous teenager""",1,"""memory_check"""
11,1,1,7,NA,"""dark living room""",1,"""memory_check"""
11,1,1,8,NA,"""light sunroom""",1,"""memory_check"""
11,1,1,9,NA,""" expensive crystal flower vase""",1,"""memory_check"""
11,-1,-1,-1,NA,"""typed in adjectives""",-1,"""explanation"""
12,NA,NA,NA,"""buildings.""",NA,NA,NA
12,1,1,0,NA,"""quiet family car""",1,"""memory_check"""
12,1,1,1,NA,"""small sedan""",1,"""memory_check"""
12,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
12,0,0,3,NA,"""ostentatious bike""",1,"""memory_check"""
12,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
12,1,1,5,NA,"""small sports car""",1,"""memory_check"""
12,1,1,6,NA,"""expensive city bike""",1,"""memory_check"""
12,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
12,1,1,8,NA,"""light grape""",1,"""memory_check"""
12,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
12,-1,-1,-1,NA,"""Filled in a sentence with the correct word.""",-1,"""explanation"""
13,NA,NA,NA,"""buildings""",NA,NA,NA
13,0,0,0,NA,"""miniscule bug""",1,"""memory_check"""
13,1,1,1,NA,"""small sports car""",1,"""memory_check"""
13,1,1,2,NA,"""cheap electric bike""",1,"""memory_check"""
13,1,1,3,NA,"""small SUV""",1,"""memory_check"""
13,1,1,4,NA,"""loud family car""",1,"""memory_check"""
13,1,1,5,NA,"""big porcupine""",1,"""memory_check"""
13,0,0,6,NA,"""flowing fields""",1,"""memory_check"""
13,0,1,7,NA,"""ostentatious bike""",0,"""memory_check"""
13,0,0,8,NA,"""huge umbrella""",1,"""memory_check"""
13,0,0,9,NA,"""boisterous teenager""",1,"""memory_check"""
13,-1,-1,-1,NA,"""Determined what the adjective in the sentence was referring to.""",-1,"""explanation"""
14,NA,NA,NA,"""buildings.""",NA,NA,NA
14,0,0,0,NA,"""boisterous teenager""",1,"""memory_check"""
14,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
14,1,1,2,NA,"""small elephant""",1,"""memory_check"""
14,1,1,3,NA,"""light basement""",1,"""memory_check"""
14,1,1,4,NA,""" expensive crystal flower vase""",1,"""memory_check"""
14,0,0,5,NA,"""miniscule bug""",1,"""memory_check"""
14,1,1,6,NA,"""light grape""",1,"""memory_check"""
14,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
14,1,1,8,NA,""" short runner""",1,"""memory_check"""
14,0,0,9,NA,"""huge umbrella""",1,"""memory_check"""
14,-1,-1,-1,NA,"""I read short vignettes and answered questions in relation to them. """,-1,"""explanation"""
15,NA,NA,NA,"""buildings""",NA,NA,NA
15,1,1,0,NA,"""heavy grape""",1,"""memory_check"""
15,1,1,1,NA,""" tall basketball player""",1,"""memory_check"""
15,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
15,1,1,3,NA,""" heavy wardrobe""",1,"""memory_check"""
15,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
15,0,0,5,NA,"""miniscule bug""",1,"""memory_check"""
15,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
15,1,1,7,NA,""" tall gymnast""",1,"""memory_check"""
15,1,1,8,NA,"""small elephant""",1,"""memory_check"""
15,0,0,9,NA,"""flowing fields""",1,"""memory_check"""
15,-1,-1,-1,NA,"""I wrote down what items or persons the speaker was comparing the sizes to.""",-1,"""explanation"""
16,NA,NA,NA,"""buildings""",NA,NA,NA
16,1,1,0,NA,"""dark basement""",1,"""memory_check"""
16,1,1,1,NA,""" cheap plastic flower vase""",1,"""memory_check"""
16,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
16,0,0,3,NA,"""flowing fields""",1,"""memory_check"""
16,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
16,0,0,5,NA,"""ostentatious bike""",1,"""memory_check"""
16,1,1,6,NA,"""cold cup of water""",1,"""memory_check"""
16,1,1,7,NA,"""heavy watermelon""",1,"""memory_check"""
16,1,1,8,NA,"""cold cup of iced tea""",1,"""memory_check"""
16,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
16,-1,-1,-1,NA,"""I typed in what the statement was relevant or referring to.""",-1,"""explanation"""
17,NA,NA,NA,"""buildings""",NA,NA,NA
17,1,1,0,NA,"""cold day in Summer""",1,"""memory_check"""
17,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
17,0,0,2,NA,"""flowing fields""",1,"""memory_check"""
17,0,0,3,NA,"""miniscule bug""",1,"""memory_check"""
17,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
17,1,1,5,NA,"""warm cup of iced tea""",1,"""memory_check"""
17,1,1,6,NA,"""quiet family car""",1,"""memory_check"""
17,1,1,7,NA,"""dark basement""",1,"""memory_check"""
17,1,1,8,NA,""" heavy reading lamp""",1,"""memory_check"""
17,0,0,9,NA,"""huge umbrella""",1,"""memory_check"""
