degree,superordinate,np_match,np_positiveness,adj,adj_positiveness,diff,matchingSuper,matchingSuperResp,cleanedPhrase,n,n_unique_resps,mode,isModeNP,isModeSuper,isModeNeither,isModeNP2,isModeSuper2,cleanMode
strength,people,adult,positive,weak,negative,0,1,0,_people_,2,2,adults,1,0,1,0,0,adults
strength,people,adult,positive,weak,negative,1,0,0,_adult_,1,1,adults,1,0,1,0,0,adults
strength,people,adult,positive,weak,negative,1,0,0,_adults_,4,4,adults,1,0,1,0,0,adults
weight,people,adult,positive,light,negative,0,1,0,_people_,1,1,adults,1,0,1,0,0,adults
weight,people,adult,positive,light,negative,1,0,0,_adults_,7,7,adults,1,0,1,0,0,adults
speed,animals,cheetah,positive,quick,positive,0,0,0,_cats_,2,2,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,0,0,_types land mammals_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals running_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals zoo_,1,1,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,0,1,0,_animals_,12,12,animals,0,0,0,0,0,animals
speed,animals,cheetah,positive,quick,positive,1,0,0,_cheetahhs zoo_,1,1,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,0,0,0,_noiss_,1,1,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,0,1,0,_animals_,10,10,animals,0,0,0,0,0,animals
loudness,animals,donkey,positive,loud,positive,1,0,0,_donkeys_,1,1,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,0,1,0,_animals_,8,8,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,0,1,0,_zoo animals_,1,1,animals,0,0,0,0,0,animals
size,animals,elephant,positive,big,positive,1,0,0,_elephants_,4,4,animals,0,0,0,0,0,animals
speed,animals,elephant,neither-nor,slow,negative,0,1,0,_animals_,10,10,animals,0,0,0,0,0,animals
speed,animals,elephant,neither-nor,slow,negative,1,0,0,_elephants_,1,1,animals,0,0,0,0,0,animals
weight,animals,elephant,positive,heavy,positive,0,1,0,_animals_,13,13,animals,0,0,0,0,0,animals
weight,animals,elephant,positive,heavy,positive,1,0,0,_elephants_,1,1,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,0,0,0,_people_,1,1,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,0,1,0,_animals_,5,5,animals,0,0,0,0,0,animals
height,animals,giraffe,positive,tall,positive,1,0,0,_giraffes_,3,3,animals,0,0,0,0,0,animals
speed,animals,sloth,negative,slow,negative,0,1,0,_animals_,8,8,animals,0,0,0,0,0,animals
speed,animals,sloth,negative,slow,negative,1,0,0,_sloth_,1,1,animals,0,0,0,0,0,animals
weight,people,baby,negative,heavy,positive,1,0,0,_baby_,7,7,baby,0,0,0,0,0,babies
weight,people,baby,negative,light,negative,0,0,0,_objects_,1,1,baby,0,0,0,0,0,babies
weight,people,baby,negative,light,negative,1,0,0,_baby_,9,9,baby,0,0,0,0,0,babies
height,athletes,basketball,positive,short,negative,0,0,0,_players_,2,2,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,short,negative,1,0,0,_basketball players_,13,13,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,0,0,_people_,3,3,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,0,0,_players_,1,1,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,0,1,0,_athletes_,1,1,basketball players,1,0,1,0,0,basketball players
height,athletes,basketball,positive,tall,positive,1,0,0,_basketball players_,5,5,basketball players,1,0,1,0,0,basketball players
price,alcoholic drinks,beer,negative,cheap,negative,0,0,0,_liquor stores_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,cheap,negative,1,0,0,_beer_,7,7,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,cheap,negative,1,0,0,_beers_,2,2,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,0,0,0,_liquor store prices_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,0,0,0,_stores_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beer beer_,1,1,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beer_,7,7,beer,0,0,0,0,0,beer
price,alcoholic drinks,beer,negative,expensive,positive,1,0,0,_beers_,4,4,beer,0,0,0,0,0,beer
height,animals,bird,negative,short,negative,0,1,0,_animals_,3,3,birds,1,0,1,0,0,birds
height,animals,bird,negative,short,negative,1,0,0,_birds zoo_,1,1,birds,1,0,1,0,0,birds
height,animals,bird,negative,short,negative,1,0,0,_birds_,11,11,birds,1,0,1,0,0,birds
height,animals,bird,negative,tall,positive,0,1,0,_animals_,2,2,birds,1,0,1,0,0,birds
height,animals,bird,negative,tall,positive,1,0,0,_birds_,13,13,birds,1,0,1,0,0,birds
darkness,birds,crow,negative,dark,negative,0,0,0,_creatures_,1,1,birds,0,0,0,0,0,birds
darkness,birds,crow,negative,dark,negative,0,1,0,_birds_,6,6,birds,0,0,0,0,0,birds
darkness,birds,crow,negative,dark,negative,1,0,0,_crows_,5,5,birds,0,0,0,0,0,birds
darkness,birds,seagull,positive,light,positive,0,1,0,_birds_,4,4,birds,0,0,0,0,0,birds
darkness,birds,seagull,positive,light,positive,1,0,0,_seagull colors_,1,1,birds,0,0,0,0,0,birds
darkness,birds,seagull,positive,light,positive,1,0,0,_seagulls colors_,1,1,birds,0,0,0,0,0,birds
darkness,birds,seagull,positive,light,positive,1,0,0,_seagulls_,2,2,birds,0,0,0,0,0,birds
price,alcoholic drinks,wine,neither-nor,expensive,positive,0,0,0,_purchase_,1,1,bottles wine,0,0,0,0,0,bottles of wine
price,alcoholic drinks,wine,neither-nor,expensive,positive,1,0,0,_bottles wine_,3,3,bottles wine,0,0,0,0,0,bottles of wine
price,alcoholic drinks,wine,neither-nor,expensive,positive,1,0,0,_wine_,3,3,bottles wine,0,0,0,0,0,bottles of wine
price,alcoholic drinks,wine,neither-nor,expensive,positive,1,0,0,_wines_,3,3,bottles wine,0,0,0,0,0,bottles of wine
size,plants,bush,neither-nor,big,positive,0,1,0,_plants_,2,2,bushes,1,0,1,0,0,bushes
size,plants,bush,neither-nor,big,positive,1,0,0,_bushes store_,1,1,bushes,1,0,1,0,0,bushes
size,plants,bush,neither-nor,big,positive,1,0,0,_bushes_,18,18,bushes,1,0,1,0,0,bushes
size,plants,bush,neither-nor,small,negative,0,1,0,_plants_,1,1,bushes,1,0,1,0,0,bushes
size,plants,bush,neither-nor,small,negative,1,0,0,_bushes_,7,7,bushes,1,0,1,0,0,bushes
hardness,floors,carpet,negative,hard,positive,0,0,0,_surface_,1,1,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,hard,positive,0,1,0,_floors_,1,1,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,hard,positive,1,0,0,_carpet_,2,2,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,hard,positive,1,0,0,_carpets_,4,4,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,hard,positive,1,1,0,_carpeted floors_,1,1,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,soft,negative,0,1,0,_floors_,3,3,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,soft,negative,1,0,0,_carpet_,1,1,carpets,1,0,1,0,0,carpets
hardness,floors,carpet,negative,soft,negative,1,0,0,_carpets_,6,6,carpets,1,0,1,0,0,carpets
loudness,animals,cat,negative,loud,positive,0,0,0,_courtyard_,1,1,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,loud,positive,0,0,0,_noises_,1,1,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,loud,positive,0,0,0,_sounds_,1,1,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,loud,positive,0,1,0,_animals_,2,2,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,loud,positive,1,0,0,_cats_,7,7,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,quiet,negative,0,0,0,_courtyards_,3,3,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,quiet,negative,0,1,0,_animals_,2,2,cats,1,0,1,0,0,cats
loudness,animals,cat,negative,quiet,negative,1,0,0,_cats_,7,7,cats,1,0,1,0,0,cats
width,holes,cavern,neither-nor,narrow,negative,0,0,0,_spaces_,1,1,caverns,1,0,1,0,0,caverns
width,holes,cavern,neither-nor,narrow,negative,1,0,0,_cavern_,1,1,caverns,1,0,1,0,0,caverns
width,holes,cavern,neither-nor,narrow,negative,1,0,0,_caverns_,2,2,caverns,1,0,1,0,0,caverns
width,holes,cavern,neither-nor,wide,positive,0,0,0,_caves_,2,2,caverns,1,0,1,0,0,caverns
width,holes,cavern,neither-nor,wide,positive,1,0,0,_caverns_,9,9,caverns,1,0,1,0,0,caverns
width,holes,cave,positive,narrow,negative,0,0,0,_ares_,1,1,caves,1,0,1,0,0,caves
width,holes,cave,positive,narrow,negative,0,0,0,_people_,1,1,caves,1,0,1,0,0,caves
width,holes,cave,positive,narrow,negative,0,0,0,_space_,1,1,caves,1,0,1,0,0,caves
width,holes,cave,positive,narrow,negative,1,0,0,_cave entrances_,1,1,caves,1,0,1,0,0,caves
width,holes,cave,positive,narrow,negative,1,0,0,_caves_,7,7,caves,1,0,1,0,0,caves
width,holes,cave,positive,wide,positive,1,0,0,_cave_,1,1,caves,1,0,1,0,0,caves
width,holes,cave,positive,wide,positive,1,0,0,_caves_,14,14,caves,1,0,1,0,0,caves
speed,animals,cheetah,positive,slow,negative,0,1,0,_animals_,2,2,cheetahhs,1,0,1,0,0,cheetahs
speed,animals,cheetah,positive,slow,negative,1,0,0,_cheetahh_,1,1,cheetahhs,1,0,1,0,0,cheetahs
speed,animals,cheetah,positive,slow,negative,1,0,0,_cheetahhs_,7,7,cheetahhs,1,0,1,0,0,cheetahs
length_duration,dogs,chihuahua,negative,long,positive,0,0,0,_chihuah's_,1,1,chihuahuas,1,0,1,0,0,chihuahuas
length_duration,dogs,chihuahua,negative,long,positive,0,1,0,_dogs_,7,7,chihuahuas,1,0,1,0,0,chihuahuas
length_duration,dogs,chihuahua,negative,long,positive,1,0,0,_chihuahuas_,9,9,chihuahuas,1,0,1,0,0,chihuahuas
strength,people,child,negative,strong,positive,0,0,0,_kids_,1,1,children,1,0,1,0,0,children
strength,people,child,negative,strong,positive,1,0,0,_children_,11,11,children,1,0,1,0,0,children
strength,people,child,negative,weak,negative,0,0,0,_boxes_,1,1,children,1,0,1,0,0,children
strength,people,child,negative,weak,negative,0,1,0,_people_,3,3,children,1,0,1,0,0,children
strength,people,child,negative,weak,negative,1,0,0,_children_,10,10,children,1,0,1,0,0,children
hardness,sweets,chocolate,neither-nor,hard,positive,0,0,0,_food_,1,1,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,0,1,0,_kinds sweets_,1,1,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,0,1,0,_sweets_,1,1,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,1,0,0,_chocolate_,6,6,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,1,0,0,_chocolates_,5,5,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,1,0,0,_pieces chocolate_,1,1,chocolate,0,0,0,0,0,chocolate
hardness,sweets,chocolate,neither-nor,hard,positive,1,1,0,_chocolate sweets_,1,1,chocolate,0,0,0,0,0,chocolate
loudness,rooms,classroom,neither-nor,loud,positive,0,1,0,_rooms_,2,2,classrooms,1,0,1,0,0,classrooms
loudness,rooms,classroom,neither-nor,loud,positive,1,1,0,_classrooms_,3,3,classrooms,1,0,1,0,0,classrooms
loudness,rooms,classroom,neither-nor,quiet,negative,0,0,0,_locations_,1,1,classrooms,1,0,1,0,0,classrooms
loudness,rooms,classroom,neither-nor,quiet,negative,0,1,0,_class rooms_,1,1,classrooms,1,0,1,0,0,classrooms
loudness,rooms,classroom,neither-nor,quiet,negative,0,1,0,_rooms_,3,3,classrooms,1,0,1,0,0,classrooms
loudness,rooms,classroom,neither-nor,quiet,negative,1,1,0,_classrooms_,8,8,classrooms,1,0,1,0,0,classrooms
darkness,birds,crow,negative,light,positive,0,1,0,_birds_,1,1,crows,1,0,1,0,0,crows
darkness,birds,crow,negative,light,positive,1,0,0,_crows_,7,7,crows,1,0,1,0,0,crows
darkness,times day,day,positive,dark,negative,1,0,0,_days daylight_,1,1,days,1,0,1,0,0,days
darkness,times day,day,positive,dark,negative,1,0,0,_days_,4,4,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,0,0,0,_environments_,1,1,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,0,0,0,_lightings_,1,1,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,0,0,0,_locations_,1,1,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,1,0,0,_days_,6,6,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,1,0,0,_time day_,1,1,days,1,0,1,0,0,days
darkness,times day,day,positive,light,positive,1,1,0,_times day_,1,1,days,1,0,1,0,0,days
temperature,seasons,fall,neither-nor,cold,negative,0,0,0,_days_,3,3,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,cold,negative,0,1,0,_seasons_,1,1,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,cold,negative,1,0,0,_days fall_,3,3,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,cold,negative,1,0,0,_fall days_,2,2,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,cold,negative,1,0,0,_falls_,1,1,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,warm,positive,0,0,0,_days_,4,4,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,warm,positive,1,0,0,_days fall_,2,2,days,0,0,0,0,0,days
temperature,seasons,fall,neither-nor,warm,positive,1,0,0,_fall days_,4,4,days,0,0,0,0,0,days
temperature,seasons,summer,positive,warm,positive,0,0,0,_city_,1,1,days,0,0,0,0,0,days
temperature,seasons,summer,positive,warm,positive,0,0,0,_days_,5,5,days,0,0,0,0,0,days
temperature,seasons,summer,positive,warm,positive,0,1,0,_seasons_,3,3,days,0,0,0,0,0,days
temperature,seasons,summer,positive,warm,positive,1,0,0,_summer days_,4,4,days,0,0,0,0,0,days
temperature,seasons,winter,negative,cold,negative,0,0,0,_days_,11,11,days,0,0,0,0,0,days
temperature,seasons,winter,negative,cold,negative,0,0,0,_locations_,1,1,days,0,0,0,0,0,days
temperature,seasons,winter,negative,cold,negative,1,0,0,_days winter_,1,1,days,0,0,0,0,0,days
price,statues,plastic,negative,expensive,positive,0,0,0,_decorations_,3,3,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,0,0,0,_items purchased_,1,1,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,0,0,0,_items_,1,1,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,0,0,0,_tchotchkes_,1,1,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,0,0,1,_statue_,2,2,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,0,1,0,_statues_,2,2,decorations,0,0,0,0,0,decorations
price,statues,plastic,negative,expensive,positive,1,0,0,_plastic items_,1,1,decorations,0,0,0,0,0,decorations
length_duration,dogs,bassett,neither-nor,long,positive,0,1,0,_dogs_,8,8,dogs,0,0,0,0,0,dogs
length_duration,dogs,bassett,neither-nor,long,positive,1,0,0,_bassettt hounds_,1,1,dogs,0,0,0,0,0,dogs
length_duration,dogs,bassett,neither-nor,short,negative,0,1,0,_dogs_,10,10,dogs,0,0,0,0,0,dogs
length_duration,dogs,bassett,neither-nor,short,negative,1,0,0,_bassett hounds_,3,3,dogs,0,0,0,0,0,dogs
length_duration,dogs,chihuahua,negative,short,negative,0,0,0,_animals_,1,1,dogs,0,0,0,0,0,dogs
length_duration,dogs,chihuahua,negative,short,negative,0,0,0,_breeds_,1,1,dogs,0,0,0,0,0,dogs
length_duration,dogs,chihuahua,negative,short,negative,0,1,0,_dogs_,7,7,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,long,positive,0,1,0,_dogs_,6,6,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,long,positive,1,0,0,_dachshunds_,5,5,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,short,negative,0,0,0,_animals_,1,1,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,short,negative,0,0,0,_dog lengths_,1,1,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,short,negative,0,1,0,_dogs_,9,9,dogs,0,0,0,0,0,dogs
length_duration,dogs,dachshund,positive,short,negative,1,0,0,_dachshunds_,2,2,dogs,0,0,0,0,0,dogs
loudness,animals,dog,neither-nor,loud,positive,0,0,0,_inhabitants_,1,1,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,loud,positive,0,0,0,_noises_,2,2,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,loud,positive,0,0,0,_sounds_,1,1,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,loud,positive,1,0,0,_dogs_,9,9,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,quiet,negative,0,0,0,_courtyards_,1,1,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,quiet,negative,0,1,0,_animals_,1,1,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,quiet,negative,1,0,0,_dog barks_,1,1,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,quiet,negative,1,0,0,_dogs_,8,8,dogs,1,0,1,0,0,dogs
loudness,animals,dog,neither-nor,quiet,negative,1,0,0,_quiet dogs_,1,1,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,heavy,positive,0,0,0,_objects_,1,1,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,heavy,positive,0,1,0,_animals_,1,1,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,heavy,positive,1,0,0,_dog_,1,1,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,heavy,positive,1,0,0,_dogs_,6,6,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,light,negative,0,1,0,_animals_,2,2,dogs,1,0,1,0,0,dogs
weight,animals,dog,neither-nor,light,negative,1,0,0,_dogs_,8,8,dogs,1,0,1,0,0,dogs
loudness,animals,donkey,positive,quiet,negative,0,0,0,_courtyards_,2,2,donkeys,1,0,1,0,0,donkeys
loudness,animals,donkey,positive,quiet,negative,0,1,0,_animals_,1,1,donkeys,1,0,1,0,0,donkeys
loudness,animals,donkey,positive,quiet,negative,1,0,0,_donkeys heard_,1,1,donkeys,1,0,1,0,0,donkeys
loudness,animals,donkey,positive,quiet,negative,1,0,0,_donkeys_,7,7,donkeys,1,0,1,0,0,donkeys
size,animals,elephant,positive,small,negative,1,0,0,_elephants_,17,17,elephants,1,0,1,0,0,elephants
speed,animals,elephant,neither-nor,quick,positive,0,1,0,_animals_,4,4,elephants,1,0,1,0,0,elephants
speed,animals,elephant,neither-nor,quick,positive,1,0,0,_elephants_,10,10,elephants,1,0,1,0,0,elephants
weight,animals,elephant,positive,light,negative,1,0,0,_elephants_,6,6,elephants,1,0,1,0,0,elephants
weight,animals,fish,negative,heavy,positive,0,0,0,_objects_,1,1,fish,0,0,0,0,0,fish
weight,animals,fish,negative,heavy,positive,1,0,0,_fish zoo_,1,1,fish,0,0,0,0,0,fish
weight,animals,fish,negative,heavy,positive,1,0,0,_fish_,14,14,fish,0,0,0,0,0,fish
weight,animals,fish,negative,heavy,positive,1,0,0,_fishes_,2,2,fish,0,0,0,0,0,fish
weight,animals,fish,negative,light,negative,0,0,0,_creatures_,1,1,fish,0,0,0,0,0,fish
weight,animals,fish,negative,light,negative,0,1,0,_animals_,2,2,fish,0,0,0,0,0,fish
weight,animals,fish,negative,light,negative,1,0,0,_fish_,8,8,fish,0,0,0,0,0,fish
weight,animals,fish,negative,light,negative,1,0,0,_fishes_,2,2,fish,0,0,0,0,0,fish
weight,animals,fish,negative,light,negative,1,0,0,_types fishes_,1,1,fish,0,0,0,0,0,fish
hardness,floors,tile,positive,hard,positive,0,0,1,_floor_,1,1,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,hard,positive,0,1,0,_floors building_,1,1,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,hard,positive,0,1,0,_floors_,13,13,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,hard,positive,0,1,0,_types floors_,1,1,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,soft,negative,0,1,0,_floors_,8,8,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,soft,negative,1,0,0,_tiles_,2,2,floors,0,0,0,0,0,floors
hardness,floors,tile,positive,soft,negative,1,1,0,_tile floors_,5,5,floors,0,0,0,0,0,floors
hardness,floors,wood,neither-nor,hard,positive,0,1,0,_floors surfaces_,1,1,floors,0,0,0,0,0,floors
hardness,floors,wood,neither-nor,hard,positive,0,1,0,_floors_,7,7,floors,0,0,0,0,0,floors
hardness,floors,wood,neither-nor,hard,positive,1,1,0,_wood floors_,1,1,floors,0,0,0,0,0,floors
hardness,floors,wood,neither-nor,soft,negative,0,1,0,_floors_,9,9,floors,0,0,0,0,0,floors
hardness,floors,wood,neither-nor,soft,negative,1,1,0,_wood floors_,4,4,floors,0,0,0,0,0,floors
size,plants,flower,negative,big,positive,0,1,0,_plants_,1,1,flowers,1,0,1,0,0,flowers
size,plants,flower,negative,big,positive,1,0,0,_flowers gardening store_,1,1,flowers,1,0,1,0,0,flowers
size,plants,flower,negative,big,positive,1,0,0,_flowers_,11,11,flowers,1,0,1,0,0,flowers
size,plants,flower,negative,big,positive,1,0,0,_types flowers_,1,1,flowers,1,0,1,0,0,flowers
size,plants,flower,negative,small,negative,1,0,0,_flowers_,14,14,flowers,1,0,1,0,0,flowers
temperature,food,ice cream,negative,cold,negative,0,0,0,_deserts_,1,1,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,0,0,0,_treats_,1,1,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,0,1,0,_food_,2,2,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,0,1,0,_foods_,3,3,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,0,1,0,_types food_,1,1,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,1,0,0,_ice cream treats_,1,1,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,1,0,0,_ice cream_,1,1,foods,0,1,1,0,0,foods
temperature,food,ice cream,negative,cold,negative,1,0,0,_ice creams_,1,1,foods,0,1,1,0,0,foods
width,holes,fox hole,negative,wide,positive,0,1,0,_holes ground_,1,1,fox holes,1,0,1,0,0,fox holes
width,holes,fox hole,negative,wide,positive,0,1,0,_holes_,4,4,fox holes,1,0,1,0,0,fox holes
width,holes,fox hole,negative,wide,positive,0,1,0,_natural holes_,1,1,fox holes,1,0,1,0,0,fox holes
width,holes,fox hole,negative,wide,positive,1,1,0,_fox holes_,8,8,fox holes,1,0,1,0,0,fox holes
height,animals,giraffe,positive,short,negative,1,0,0,_giraffe_,1,1,giraffes,1,0,1,0,0,giraffes
height,animals,giraffe,positive,short,negative,1,0,0,_giraffes_,13,13,giraffes,1,0,1,0,0,giraffes
height,athletes,golfer,neither-nor,short,negative,0,0,0,_drives_,1,1,golfers,1,0,1,0,0,golfers
height,athletes,golfer,neither-nor,short,negative,0,0,0,_human_,1,1,golfers,1,0,1,0,0,golfers
height,athletes,golfer,neither-nor,short,negative,0,0,0,_people_,4,4,golfers,1,0,1,0,0,golfers
height,athletes,golfer,neither-nor,short,negative,1,0,0,_golfers_,6,6,golfers,1,0,1,0,0,golfers
width,roads,highway,positive,narrow,negative,0,1,0,_roads_,6,6,highways,1,0,1,0,0,highways
width,roads,highway,positive,narrow,negative,1,0,0,_highways_,7,7,highways,1,0,1,0,0,highways
width,roads,highway,positive,narrow,negative,1,0,0,_stretches highway_,1,1,highways,1,0,1,0,0,highways
width,roads,highway,positive,wide,positive,0,1,0,_roads driven_,1,1,highways,1,0,1,0,0,highways
width,roads,highway,positive,wide,positive,0,1,0,_roads_,2,2,highways,1,0,1,0,0,highways
width,roads,highway,positive,wide,positive,1,0,0,_highway driven_,1,1,highways,1,0,1,0,0,highways
width,roads,highway,positive,wide,positive,1,0,0,_highway_,2,2,highways,1,0,1,0,0,highways
width,roads,highway,positive,wide,positive,1,0,0,_highways_,5,5,highways,1,0,1,0,0,highways
width,holes,fox hole,negative,narrow,negative,0,1,0,_compared holes_,1,1,holes,0,0,0,0,0,holes
width,holes,fox hole,negative,narrow,negative,0,1,0,_foxholes_,1,1,holes,0,0,0,0,0,holes
width,holes,fox hole,negative,narrow,negative,0,1,0,_holes_,6,6,holes,0,0,0,0,0,holes
width,holes,fox hole,negative,narrow,negative,1,1,0,_fox holes_,6,6,holes,0,0,0,0,0,holes
strength,storms,hurricane,positive,strong,positive,0,0,0,_wind_,1,1,hurricanes,1,0,1,0,0,hurricanes
strength,storms,hurricane,positive,strong,positive,0,1,0,_storms_,4,4,hurricanes,1,0,1,0,0,hurricanes
strength,storms,hurricane,positive,strong,positive,1,0,0,_hurricanes_,6,6,hurricanes,1,0,1,0,0,hurricanes
strength,storms,hurricane,positive,weak,negative,0,1,0,_storms_,3,3,hurricanes,1,0,1,0,0,hurricanes
strength,storms,hurricane,positive,weak,negative,1,0,0,_hurricanes_,17,17,hurricanes,1,0,1,0,0,hurricanes
temperature,food,ice cream,negative,warm,positive,0,0,0,_days_,1,1,ice cream,0,0,0,0,0,ice creams
